Австралия, Доллар (австралийский доллар), Australian Dollar, AUD
Маврикий, Рупия (маврикийская рупия), Mauritius Rupee, MUR
Мавритания, Угия, Ouguiya, MRO
Мадагаскар, Ариари (малагасийский ариари), Malagasy Ariary, MGA
Майотта, Евро, Euro, EUR
Макао, Патака, Pataca, MOP
Македония, Денар, Denar, MKD
Малави, Квача, Kwacha, MWK
Малайзия, Ринггит (малайзийский ринггит), Malaysian Ringgit, MYR
Мали, Франк (франк КФА BCEAO), CFA Franc BCEAO, XOF
Мальдивы, Руфия, Rufiyaa, MVR
Мальта, Евро, Euro, EUR
Внешние малые острова, Доллар (доллар США), US Dollar, USD
Марокко, Дирхам (марокканский дирхам), Moroccan Dirham, MAD
Мартиника, Евро, Euro, EUR
Маршалловы Острова, Доллар (доллар США), US Dollar, USD
Мексика, Песо (мексиканское песо), Mexican Peso, MXN
Микронезия, Доллар (доллар США), US Dollar, USD
Мозамбик, Метикал (мозамбикский метикал), Mozambique Metical, MZN
Молдавия, Лей (молдавский лей), Moldovan Leu, MDL
Монако, Евро, Euro, EUR
Монголия, Тугрик, Tugrik, MNT
Монтсеррат, Доллар (восточно-карибский доллар), East Caribbean Dollar, XCD
Мьянма, Кьят[25], Kyat, MMK
Мэн, Фунт (фунт стерлингов), Pound Sterling, GBP
Намибия, Доллар (доллар Намибии)[24], Namibia Dollar, NAD
Науру, Доллар (австралийский доллар), Australian Dollar, AUD
Непал, Рупия (непальская рупия), Nepalese Rupee, NPR
Нигер, Франк (франк КФА BCEAO), CFA Franc BCEAO, XOF
Нигерия, Найра, Naira, NGN
Нидерланды, Евро, Euro, EUR
Никарагуа, Кордоба (золотая кордоба), Cordoba Oro, NIO
Ниуэ, Доллар (новозеландский доллар), New Zealand Dollar, NZD
Новая Зеландия, Доллар (новозеландский доллар), New Zealand Dollar, NZD
Новая Каледония, Франк (франк КФП), CFP Franc, XPF
Норвегия, Крона (норвежская крона), Norwegian Krone, NOK
ОАЭ, Дирхам (дирхам ОАЭ), UAE Dirham, AED
Оман, Риал (оманский риал), Rial Omani, OMR
Остров Буве, Крона (норвежская крона), Norwegian Krone, NOK
Остров Норфолк, Доллар (австралийский доллар), Australian Dollar, AUD
Остров Рождества, Доллар (австралийский доллар), Australian Dollar, AUD
Херд и Макдональд, Доллар (австралийский доллар), Australian Dollar, AUD
Острова Кука, Доллар (новозеландский доллар), New Zealand Dollar, NZD
Тёркс и Кайкос, Доллар (доллар США), US Dollar, USD
Пакистан, Рупия (пакистанская рупия), Pakistan Rupee, PKR
Палау, Доллар (доллар США), US Dollar, USD
Панама, Бальбоа[15], Balboa, PAB
Папуа — Новая Гвинея, Кина, Kina, PGK
Парагвай, Гуарани, Guarani, PYG
Перу, Соль (новый соль), Nuevo Sol, PEN
Острова Питкэрн, Доллар (новозеландский доллар), New Zealand Dollar, NZD
Польша, Злотый, Zloty, PLN
Португалия, Евро, Euro, EUR
Пуэрто-Рико, Доллар (доллар США), US Dollar, USD
Реюньон, Евро, Euro, EUR
Россия, Рубль (российский рубль), Russian Ruble, RUB
Руанда, Франк (франк Руанды), Rwanda Franc, RWF
